ID,Age,Gender,Occupation,Phone Type,Current Bike,Relationship,Response
1,53,Male ,Professional,Average,180 to 220,Complicated,Not purchased
2,27,Female,Self Employed,Low End,No Bike,Single,Purchased
3,39,Female,Unemployed,Average,180 to 220,Married,Not purchased
4,20,Female,Unemployed,High End,No Bike,Married,Not purchased
5,29,Male ,Student,Average,180 to 220,Complicated,Purchased
6,54,Female,Self Employed,Low End,No Bike,Committed,Not purchased
7,47,Male ,Unemployed,Low End,220 and Above,Complicated,Purchased
8,44,Female,Unemployed,High End,125 to 180,Complicated,Not purchased
9,38,Male ,Professional,Average,Below 125,Married,Purchased
10,24,Female,Self Employed,High End,220 and Above,Complicated,Not purchased
11,38,Female,Unemployed,Low End,180 to 220,Complicated,Not purchased
12,23,Female,Self Employed,Low End,220 and Above,Committed,Not purchased
13,45,Female,Unemployed,Average,125 to 180,Complicated,Not purchased
14,34,Female,Student,Average,Below 125,Single,Purchased
15,46,Male ,Professional,Low End,125 to 180,Married,Purchased
16,44,Male ,Self Employed,High End,125 to 180,Single,Not purchased
17,54,Female,Professional,High End,Below 125,Married,Not purchased
18,51,Male ,Unemployed,Average,125 to 180,Single,Purchased
19,25,Female,Self Employed,Average,Below 125,Single,Purchased
20,47,Male ,Professional,High End,220 and Above,Committed,Purchased
21,50,Male ,Student,Average,180 to 220,Complicated,Not purchased
22,19,Male ,Unemployed,High End,Below 125,Committed,Not purchased
23,47,Female,Self Employed,Average,220 and Above,Single,Not purchased
24,23,Female,Unemployed,Low End,220 and Above,Single,Purchased
25,42,Male ,Self Employed,High End,220 and Above,Married,Purchased
26,54,Female,Professional,Average,Below 125,Married,Not purchased
27,31,Male ,Unemployed,Low End,Below 125,Single,Not purchased
28,24,Male ,Unemployed,High End,125 to 180,Complicated,Not purchased
29,21,Female,Student,Average,Below 125,Married,Not purchased
30,31,Female,Self Employed,Low End,180 to 220,Single,Not purchased
31,23,Female,Self Employed,High End,125 to 180,Single,Purchased
32,59,Female,Professional,Low End,125 to 180,Single,Not purchased
33,60,Female,Unemployed,High End,No Bike,Married,Not purchased
34,43,Male ,Unemployed,High End,No Bike,Single,Not purchased
35,27,Female,Student,Average,125 to 180,Complicated,Purchased
36,21,Female,Unemployed,High End,220 and Above,Committed,Not purchased
37,24,Female,Student,High End,220 and Above,Single,Purchased
38,53,Male ,Self Employed,High End,180 to 220,Committed,Not purchased
39,49,Male ,Student,High End,180 to 220,Single,Not purchased
40,22,Female,Self Employed,Low End,Below 125,Single,Not purchased
41,48,Female,Self Employed,High End,220 and Above,Committed,Not purchased
42,49,Male ,Professional,Low End,180 to 220,Committed,Not purchased
43,19,Male ,Professional,High End,125 to 180,Married,Not purchased
44,25,Male ,Self Employed,Low End,Below 125,Committed,Purchased
45,50,Male ,Student,High End,No Bike,Single,Purchased
46,23,Male ,Student,Average,220 and Above,Committed,Purchased
47,42,Male ,Student,Low End,180 to 220,Single,Purchased
48,24,Male ,Student,Low End,Below 125,Committed,Purchased
49,47,Female,Professional,Average,Below 125,Complicated,Not purchased
50,29,Female,Student,Low End,No Bike,Complicated,Purchased
51,38,Female,Unemployed,Low End,Below 125,Married,Not purchased
52,43,Female,Unemployed,Low End,220 and Above,Complicated,Not purchased
53,19,Female,Professional,High End,125 to 180,Married,Not purchased
54,37,Male ,Unemployed,High End,125 to 180,Complicated,Purchased
55,25,Female,Unemployed,Low End,125 to 180,Single,Not purchased
56,18,Female,Professional,Average,180 to 220,Married,Purchased
57,31,Female,Unemployed,Average,180 to 220,Committed,Not purchased
58,52,Female,Self Employed,Average,125 to 180,Committed,Not purchased
59,19,Male ,Professional,High End,No Bike,Single,Purchased
60,38,Female,Professional,High End,Below 125,Complicated,Not purchased
61,52,Female,Professional,High End,125 to 180,Married,Not purchased
62,50,Male ,Unemployed,High End,No Bike,Committed,Not purchased
63,50,Male ,Student,High End,Below 125,Committed,Not purchased
64,58,Male ,Unemployed,Low End,125 to 180,Complicated,Purchased
65,35,Female,Self Employed,Low End,Below 125,Committed,Not purchased
66,29,Female,Professional,Low End,Below 125,Committed,Purchased
67,26,Female,Student,Low End,220 and Above,Married,Not purchased
68,22,Male ,Self Employed,Low End,180 to 220,Complicated,Not purchased
69,51,Female,Unemployed,Average,No Bike,Married,Not purchased
70,34,Female,Professional,High End,220 and Above,Married,Not purchased
71,18,Female,Self Employed,High End,125 to 180,Single,Not purchased
72,31,Male ,Self Employed,Low End,180 to 220,Single,Not purchased
73,37,Male ,Professional,Low End,180 to 220,Committed,Not purchased
74,21,Male ,Professional,High End,Below 125,Complicated,Not purchased
75,40,Female,Self Employed,Average,180 to 220,Committed,Purchased
76,25,Female,Self Employed,Low End,Below 125,Committed,Purchased
77,29,Male ,Unemployed,High End,Below 125,Married,Not purchased
78,41,Male ,Student,Average,No Bike,Single,Purchased
